id,labels
monkeyc7sp1s3324,3
monkeyc6r1s2918,8
monkeyc1g1s329,8
monkeyc4l2s1600,8
monkeyc8sp2s3617,0
monkeyc8sp2s3685,0
monkeyc8sp2s3516,0
monkeyc5hr1s2453,6
monkeyc7sp1s3357,3
monkeyc7sp1s3154,1
monkeyc7sp1s3288,3
monkeyc4l2s1546,8
monkeyc1g1s235,8
monkeyc4l2s1742,8
monkeyc3l1s1432,8
monkeyc4l2s1645,8
monkeyc2g2s541,8
monkeyc1g1s319,8
monkeyc7sp1s3399,2
monkeyc8sp2s3767,7
monkeyc7sp1s3446,3
monkeyc1g1s192,8
monkeyc1g1s327,8
monkeyc6r1s2941,4
monkeyc1g1s255,8
monkeyc8sp2s3793,7
monkeyc6r1s2869,6
monkeyc5hr1s2499,4
monkeyc5hr1s2380,8
monkeyc6r1s2900,8
monkeyc1g1s210,8
monkeyc5hr1s2125,8
monkeyc6r1s2947,8
monkeyc3l1s1222,8
monkeyc6r1s2604,4
monkeyc6r1s2641,5
monkeyc5hr1s2271,6
monkeyc3l1s1161,8
monkeyc8sp2s3765,7
monkeyc2g2s851,8
