id,labels
monkeyc7sp1s3324,1
monkeyc6r1s2918,1
monkeyc1g1s329,0
monkeyc4l2s1600,1
monkeyc8sp2s3617,3
monkeyc8sp2s3685,3
monkeyc8sp2s3516,3
monkeyc5hr1s2453,1
monkeyc7sp1s3357,1
monkeyc7sp1s3154,1
monkeyc7sp1s3288,1
monkeyc4l2s1546,6
monkeyc1g1s235,6
monkeyc4l2s1742,1
monkeyc3l1s1432,6
monkeyc4l2s1645,1
monkeyc2g2s541,1
monkeyc1g1s319,0
monkeyc7sp1s3399,1
monkeyc8sp2s3767,5
monkeyc7sp1s3446,1
monkeyc1g1s192,0
monkeyc1g1s327,0
monkeyc6r1s2941,2
monkeyc1g1s255,0
monkeyc8sp2s3793,4
monkeyc6r1s2869,2
monkeyc5hr1s2499,2
monkeyc5hr1s2380,0
monkeyc6r1s2900,6
monkeyc1g1s210,0
monkeyc5hr1s2125,0
monkeyc6r1s2947,0
monkeyc3l1s1222,6
monkeyc6r1s2604,2
monkeyc6r1s2641,2
monkeyc5hr1s2271,2
monkeyc3l1s1161,6
monkeyc8sp2s3765,5
monkeyc2g2s851,0
