id,label
c2sp1s1,1
c2sp1s2,1
c2sp1s3,2
c2sp1s4,2
c2sp1s5,2
c2sp1s6,2
c2sp1s7,2
c2sp1s8,2
c2sp1s9,2
c2sp1s10,2
c2sp1s11,2
c2sp1s12,2
c2sp1s13,1
c2sp1s14,2
c2sp1s15,2
c2sp1s16,2
c2sp1s17,2
c2sp1s18,2
c2sp1s19,2
c2sp1s20,2
c2sp1s21,2
c2sp1s22,2
c2sp1s23,2
c2sp1s24,1
c2sp1s25,2
c2sp1s26,2
c2sp1s27,2
c2sp1s28,2
c2sp1s29,2
c2sp1s30,2
c2sp1s31,2
c2sp1s32,2
c2sp1s33,2
c2sp1s34,2
c2sp1s35,1
c2sp1s36,2
c2sp1s37,2
c2sp1s38,2
c2sp1s39,2
c2sp1s40,2
c2sp1s41,2
c2sp1s42,2
c2sp1s43,2
c2sp1s44,2
c2sp1s45,2
c2sp1s46,1
c2sp1s47,2
c2sp1s48,3
c2sp1s49,3
c2sp1s50,3
c2sp1s51,3
c2sp1s52,3
c2sp1s53,3
c2sp1s54,3
c2sp1s55,3
c2sp1s56,3
c2sp1s57,1
c2sp1s58,3
c2sp1s59,3
c2sp1s60,3
c2sp1s61,3
c2sp1s62,3
c2sp1s63,3
c2sp1s64,3
c2sp1s65,3
c2sp1s66,3
c2sp1s67,3
c2sp1s68,1
c2sp1s69,3
c2sp1s70,3
c2sp1s71,3
c2sp1s72,3
c2sp1s73,3
c2sp1s74,3
c2sp1s75,3
c2sp1s76,3
c2sp1s77,3
c2sp1s78,3
c2sp1s79,1
c2sp1s80,3
c2sp1s81,3
c2sp1s82,3
c2sp1s83,3
c2sp1s84,3
c2sp1s85,3
c2sp1s86,3
c2sp1s87,3
c2sp1s88,3
c2sp1s89,3
c2sp1s90,1
c2sp1s91,3
c2sp1s92,3
c2sp1s93,3
c2sp1s94,3
c2sp1s95,3
c2sp1s96,3
c2sp1s97,3
c2sp1s98,3
c2sp1s99,3
c2sp1s100,3
c2sp1s101,1
c2sp1s102,3
c2sp1s103,3
c2sp1s104,3
c2sp1s105,3
c2sp1s106,3
c2sp1s107,3
c2sp1s108,3
c2sp1s109,3
c2sp1s110,3
c2sp1s111,3
c2sp1s112,1
c2sp1s113,1
c2sp1s114,3
c2sp1s115,3
c2sp1s116,3
c2sp1s117,3
c2sp1s118,3
c2sp1s119,3
c2sp1s120,3
c2sp1s121,3
c2sp1s122,3
c2sp1s123,3
c2sp1s124,1
c2sp1s125,3
c2sp1s126,3
c2sp1s127,3
c2sp1s128,3
c2sp1s129,3
c2sp1s130,3
c2sp1s131,3
c2sp1s132,3
c2sp1s133,3
c2sp1s134,3
c2sp1s135,1
c2sp1s136,3
c2sp1s137,3
c2sp1s138,3
c2sp1s139,3
c2sp1s140,3
c2sp1s141,3
c2sp1s142,3
c2sp1s143,3
c2sp1s144,3
c2sp1s145,3
c2sp1s146,1
c2sp1s147,3
c2sp1s148,0
c2sp1s149,0
c2sp1s150,0
c2sp1s151,0
c2sp1s152,0
c2sp1s153,0
c2sp1s154,0
c2sp1s155,0
c2sp1s156,0
c2sp1s157,1
c2sp1s158,0
c2sp1s159,0
c2sp1s160,0
c2sp1s161,0
c2sp1s162,0
c2sp1s163,0
c2sp1s164,0
c2sp1s165,0
c2sp1s166,0
c2sp1s167,0
c2sp1s168,1
c2sp1s169,0
c2sp1s170,0
c2sp1s171,0
c2sp1s172,0
c2sp1s173,0
c2sp1s174,0
c2sp1s175,0
c2sp1s176,0
c2sp1s177,0
c2sp1s178,0
c2sp1s179,1
c2sp1s180,0
c2sp1s181,0
c2sp1s182,0
c2sp1s183,0
c2sp1s184,0
c2sp1s185,0
c2sp1s186,0
c2sp1s187,0
c2sp1s188,0
c2sp1s189,0
c2sp1s190,1
c2sp1s191,0
c2sp1s192,0
c2sp1s193,0
c2sp1s194,0
c2sp1s195,0
c2sp1s196,0
c2sp1s197,0
c2sp1s198,0
c2sp1s199,0
c2sp1s200,0
c2sp1s201,1
c2sp1s202,0
c2sp1s203,0
c2sp1s204,0
c2sp1s205,0
c2sp1s206,0
c2sp1s207,0
c2sp1s208,0
c2sp1s209,0
c2sp1s210,0
c2sp1s211,0
c2sp1s212,1
c2sp1s213,0
c2sp1s214,0
c2sp1s215,0
c2sp1s216,0
c2sp1s217,0
c2sp1s218,0
c2sp1s219,0
c2sp1s220,0
c2sp1s221,0
c2sp1s222,0
c2sp1s223,1
c2sp1s224,1
c2sp1s225,0
c2sp1s226,0
c2sp1s227,0
c2sp1s228,0
c2sp1s229,0
c2sp1s230,0
c2sp1s231,0
c2sp1s232,0
c2sp1s233,0
c2sp1s234,0
c2sp1s235,1
c2sp1s236,0
c2sp1s237,0
c2sp1s238,0
c2sp1s239,0
c2sp1s240,0
c2sp1s241,0
c2sp1s242,0
c2sp1s243,0
c2sp1s244,0
c2sp1s245,0
c2sp1s246,1
c2sp1s247,1
c2sp1s248,1
c2sp1s249,1
c2sp1s250,1
c2sp1s251,1
c2sp1s252,1
c2sp1s253,1
c2sp1s254,1
c2sp1s255,1
c2sp1s256,1
c2sp1s257,1
c2sp1s258,1
c2sp1s259,1
c2sp1s260,1
c2sp1s261,1
c2sp1s262,1
c2sp1s263,1
c2sp1s264,1
c2sp1s265,1
c2sp1s266,1
c2sp1s267,1
c2sp1s268,1
c2sp1s269,1
c2sp1s270,1
c2sp1s271,1
c2sp1s272,1
c2sp1s273,1
c2sp1s274,1
c2sp1s275,1
c2sp1s276,1
c2sp1s277,1
c2sp1s278,1
c2sp1s279,1
c2sp1s280,1
c2sp1s281,1
c2sp1s282,1
c2sp1s283,1
c2sp1s284,1
c2sp1s285,1
c2sp1s286,1
c2sp1s287,1
c2sp1s288,1
c2sp1s289,1
c2sp1s290,1
c2sp1s291,1
c2sp1s292,1
c2sp1s293,1
c2sp1s294,1
c2sp1s295,1
c2sp1s296,1
c2sp1s297,1
c2sp1s298,1
c2sp1s299,1
c2sp1s300,1
c2sp1s301,1
c2sp1s302,1
c2sp1s303,1
c2sp1s304,1
c2sp1s305,1
c2sp1s306,1
c2sp1s307,1
c2sp1s308,1
c2sp1s309,1
c2sp1s310,1
c2sp1s311,1
c2sp1s312,1
c2sp1s313,1
c2sp1s314,1
c2sp1s315,1
c2sp1s316,1
c2sp1s317,1
c2sp1s318,1
c2sp1s319,1
