id,labels
monkeyc7sp1s3324,1
monkeyc6r1s2918,1
monkeyc1g1s329,1
monkeyc4l2s1600,1
monkeyc8sp2s3617,1
monkeyc8sp2s3685,1
monkeyc8sp2s3516,1
monkeyc5hr1s2453,1
monkeyc7sp1s3357,1
monkeyc7sp1s3154,1
monkeyc7sp1s3288,1
monkeyc4l2s1546,1
monkeyc1g1s235,1
monkeyc4l2s1742,1
monkeyc3l1s1432,1
monkeyc4l2s1645,1
monkeyc2g2s541,1
monkeyc1g1s319,1
monkeyc7sp1s3399,1
monkeyc8sp2s3767,1
monkeyc7sp1s3446,1
monkeyc1g1s192,1
monkeyc1g1s327,1
monkeyc6r1s2941,1
monkeyc1g1s255,1
monkeyc8sp2s3793,1
monkeyc6r1s2869,1
monkeyc5hr1s2499,1
monkeyc5hr1s2380,1
monkeyc6r1s2900,1
monkeyc1g1s210,1
monkeyc5hr1s2125,1
monkeyc6r1s2947,1
monkeyc3l1s1222,1
monkeyc6r1s2604,1
monkeyc6r1s2641,0
monkeyc5hr1s2271,1
monkeyc3l1s1161,1
monkeyc8sp2s3765,1
monkeyc2g2s851,1
