id,labels
monkeyc7sp1s3324,2
monkeyc6r1s2918,7
monkeyc1g1s329,7
monkeyc4l2s1600,7
monkeyc8sp2s3617,6
monkeyc8sp2s3685,6
monkeyc8sp2s3516,6
monkeyc5hr1s2453,5
monkeyc7sp1s3357,2
monkeyc7sp1s3154,0
monkeyc7sp1s3288,2
monkeyc4l2s1546,7
monkeyc1g1s235,7
monkeyc4l2s1742,7
monkeyc3l1s1432,7
monkeyc4l2s1645,7
monkeyc2g2s541,7
monkeyc1g1s319,7
monkeyc7sp1s3399,1
monkeyc8sp2s3767,6
monkeyc7sp1s3446,2
monkeyc1g1s192,7
monkeyc1g1s327,7
monkeyc6r1s2941,3
monkeyc1g1s255,7
monkeyc8sp2s3793,6
monkeyc6r1s2869,5
monkeyc5hr1s2499,3
monkeyc5hr1s2380,7
monkeyc6r1s2900,7
monkeyc1g1s210,7
monkeyc5hr1s2125,7
monkeyc6r1s2947,7
monkeyc3l1s1222,7
monkeyc6r1s2604,3
monkeyc6r1s2641,4
monkeyc5hr1s2271,5
monkeyc3l1s1161,7
monkeyc8sp2s3765,6
monkeyc2g2s851,7
