id,labels
monkeyc7sp1s3324,5
monkeyc6r1s2918,10
monkeyc1g1s329,10
monkeyc4l2s1600,10
monkeyc8sp2s3617,1
monkeyc8sp2s3685,0
monkeyc8sp2s3516,1
monkeyc5hr1s2453,8
monkeyc7sp1s3357,5
monkeyc7sp1s3154,2
monkeyc7sp1s3288,5
monkeyc4l2s1546,10
monkeyc1g1s235,10
monkeyc4l2s1742,10
monkeyc3l1s1432,10
monkeyc4l2s1645,10
monkeyc2g2s541,3
monkeyc1g1s319,10
monkeyc7sp1s3399,4
monkeyc8sp2s3767,9
monkeyc7sp1s3446,5
monkeyc1g1s192,10
monkeyc1g1s327,10
monkeyc6r1s2941,6
monkeyc1g1s255,10
monkeyc8sp2s3793,9
monkeyc6r1s2869,8
monkeyc5hr1s2499,6
monkeyc5hr1s2380,10
monkeyc6r1s2900,10
monkeyc1g1s210,10
monkeyc5hr1s2125,10
monkeyc6r1s2947,10
monkeyc3l1s1222,10
monkeyc6r1s2604,6
monkeyc6r1s2641,7
monkeyc5hr1s2271,8
monkeyc3l1s1161,10
monkeyc8sp2s3765,9
monkeyc2g2s851,10
