id,labels
monkeyc7sp1s3324,2
monkeyc6r1s2918,4
monkeyc1g1s329,4
monkeyc4l2s1600,4
monkeyc8sp2s3617,4
monkeyc8sp2s3685,4
monkeyc8sp2s3516,4
monkeyc5hr1s2453,4
monkeyc7sp1s3357,2
monkeyc7sp1s3154,0
monkeyc7sp1s3288,2
monkeyc4l2s1546,4
monkeyc1g1s235,4
monkeyc4l2s1742,4
monkeyc3l1s1432,4
monkeyc4l2s1645,4
monkeyc2g2s541,4
monkeyc1g1s319,4
monkeyc7sp1s3399,1
monkeyc8sp2s3767,4
monkeyc7sp1s3446,2
monkeyc1g1s192,4
monkeyc1g1s327,4
monkeyc6r1s2941,4
monkeyc1g1s255,4
monkeyc8sp2s3793,4
monkeyc6r1s2869,4
monkeyc5hr1s2499,4
monkeyc5hr1s2380,4
monkeyc6r1s2900,4
monkeyc1g1s210,4
monkeyc5hr1s2125,4
monkeyc6r1s2947,4
monkeyc3l1s1222,4
monkeyc6r1s2604,4
monkeyc6r1s2641,3
monkeyc5hr1s2271,4
monkeyc3l1s1161,4
monkeyc8sp2s3765,4
monkeyc2g2s851,4
