id,labels
monkeyc7sp1s3324,2
monkeyc6r1s2918,5
monkeyc1g1s329,5
monkeyc4l2s1600,5
monkeyc8sp2s3617,4
monkeyc8sp2s3685,4
monkeyc8sp2s3516,4
monkeyc5hr1s2453,5
monkeyc7sp1s3357,2
monkeyc7sp1s3154,0
monkeyc7sp1s3288,2
monkeyc4l2s1546,5
monkeyc1g1s235,5
monkeyc4l2s1742,5
monkeyc3l1s1432,5
monkeyc4l2s1645,5
monkeyc2g2s541,5
monkeyc1g1s319,5
monkeyc7sp1s3399,1
monkeyc8sp2s3767,4
monkeyc7sp1s3446,2
monkeyc1g1s192,5
monkeyc1g1s327,5
monkeyc6r1s2941,5
monkeyc1g1s255,5
monkeyc8sp2s3793,4
monkeyc6r1s2869,5
monkeyc5hr1s2499,5
monkeyc5hr1s2380,5
monkeyc6r1s2900,5
monkeyc1g1s210,5
monkeyc5hr1s2125,5
monkeyc6r1s2947,5
monkeyc3l1s1222,5
monkeyc6r1s2604,5
monkeyc6r1s2641,3
monkeyc5hr1s2271,5
monkeyc3l1s1161,5
monkeyc8sp2s3765,4
monkeyc2g2s851,5
