id,labels
monkeyc7sp1s3324,4
monkeyc6r1s2918,9
monkeyc1g1s329,9
monkeyc4l2s1600,9
monkeyc8sp2s3617,0
monkeyc8sp2s3685,0
monkeyc8sp2s3516,0
monkeyc5hr1s2453,7
monkeyc7sp1s3357,4
monkeyc7sp1s3154,1
monkeyc7sp1s3288,4
monkeyc4l2s1546,9
monkeyc1g1s235,9
monkeyc4l2s1742,9
monkeyc3l1s1432,9
monkeyc4l2s1645,9
monkeyc2g2s541,2
monkeyc1g1s319,9
monkeyc7sp1s3399,3
monkeyc8sp2s3767,8
monkeyc7sp1s3446,4
monkeyc1g1s192,9
monkeyc1g1s327,9
monkeyc6r1s2941,5
monkeyc1g1s255,9
monkeyc8sp2s3793,8
monkeyc6r1s2869,7
monkeyc5hr1s2499,5
monkeyc5hr1s2380,9
monkeyc6r1s2900,9
monkeyc1g1s210,9
monkeyc5hr1s2125,9
monkeyc6r1s2947,9
monkeyc3l1s1222,9
monkeyc6r1s2604,5
monkeyc6r1s2641,6
monkeyc5hr1s2271,7
monkeyc3l1s1161,9
monkeyc8sp2s3765,8
monkeyc2g2s851,9
