id,labels
monkeyc7sp1s3324,6
monkeyc6r1s2918,12
monkeyc1g1s329,12
monkeyc4l2s1600,12
monkeyc8sp2s3617,0
monkeyc8sp2s3685,1
monkeyc8sp2s3516,2
monkeyc5hr1s2453,10
monkeyc7sp1s3357,6
monkeyc7sp1s3154,3
monkeyc7sp1s3288,6
monkeyc4l2s1546,12
monkeyc1g1s235,12
monkeyc4l2s1742,12
monkeyc3l1s1432,12
monkeyc4l2s1645,12
monkeyc2g2s541,4
monkeyc1g1s319,12
monkeyc7sp1s3399,5
monkeyc8sp2s3767,11
monkeyc7sp1s3446,6
monkeyc1g1s192,12
monkeyc1g1s327,12
monkeyc6r1s2941,8
monkeyc1g1s255,12
monkeyc8sp2s3793,11
monkeyc6r1s2869,10
monkeyc5hr1s2499,8
monkeyc5hr1s2380,12
monkeyc6r1s2900,12
monkeyc1g1s210,12
monkeyc5hr1s2125,12
monkeyc6r1s2947,7
monkeyc3l1s1222,12
monkeyc6r1s2604,8
monkeyc6r1s2641,9
monkeyc5hr1s2271,10
monkeyc3l1s1161,12
monkeyc8sp2s3765,11
monkeyc2g2s851,12
