id,labels
monkeyc7sp1s3324,1
monkeyc6r1s2918,3
monkeyc1g1s329,3
monkeyc4l2s1600,3
monkeyc8sp2s3617,3
monkeyc8sp2s3685,3
monkeyc8sp2s3516,3
monkeyc5hr1s2453,3
monkeyc7sp1s3357,1
monkeyc7sp1s3154,0
monkeyc7sp1s3288,1
monkeyc4l2s1546,3
monkeyc1g1s235,3
monkeyc4l2s1742,3
monkeyc3l1s1432,3
monkeyc4l2s1645,3
monkeyc2g2s541,3
monkeyc1g1s319,3
monkeyc7sp1s3399,3
monkeyc8sp2s3767,3
monkeyc7sp1s3446,1
monkeyc1g1s192,3
monkeyc1g1s327,3
monkeyc6r1s2941,3
monkeyc1g1s255,3
monkeyc8sp2s3793,3
monkeyc6r1s2869,3
monkeyc5hr1s2499,3
monkeyc5hr1s2380,3
monkeyc6r1s2900,3
monkeyc1g1s210,3
monkeyc5hr1s2125,3
monkeyc6r1s2947,3
monkeyc3l1s1222,3
monkeyc6r1s2604,3
monkeyc6r1s2641,2
monkeyc5hr1s2271,3
monkeyc3l1s1161,3
monkeyc8sp2s3765,3
monkeyc2g2s851,3
