id,labels
monkeyc7sp1s3324,4
monkeyc6r1s2918,8
monkeyc1g1s329,6
monkeyc4l2s1600,7
monkeyc8sp2s3617,10
monkeyc8sp2s3685,10
monkeyc8sp2s3516,10
monkeyc5hr1s2453,3
monkeyc7sp1s3357,4
monkeyc7sp1s3154,4
monkeyc7sp1s3288,4
monkeyc4l2s1546,5
monkeyc1g1s235,2
monkeyc4l2s1742,8
monkeyc3l1s1432,2
monkeyc4l2s1645,7
monkeyc2g2s541,3
monkeyc1g1s319,9
monkeyc7sp1s3399,11
monkeyc8sp2s3767,10
monkeyc7sp1s3446,4
monkeyc1g1s192,2
monkeyc1g1s327,0
monkeyc6r1s2941,1
monkeyc1g1s255,6
monkeyc8sp2s3793,10
monkeyc6r1s2869,3
monkeyc5hr1s2499,1
monkeyc5hr1s2380,6
monkeyc6r1s2900,2
monkeyc1g1s210,6
monkeyc5hr1s2125,0
monkeyc6r1s2947,1
monkeyc3l1s1222,2
monkeyc6r1s2604,1
monkeyc6r1s2641,1
monkeyc5hr1s2271,3
monkeyc3l1s1161,2
monkeyc8sp2s3765,10
monkeyc2g2s851,9
