id,labels
monkeyc7sp1s3324,0
monkeyc6r1s2918,2
monkeyc1g1s329,2
monkeyc4l2s1600,2
monkeyc8sp2s3617,2
monkeyc8sp2s3685,2
monkeyc8sp2s3516,2
monkeyc5hr1s2453,2
monkeyc7sp1s3357,0
monkeyc7sp1s3154,0
monkeyc7sp1s3288,0
monkeyc4l2s1546,2
monkeyc1g1s235,2
monkeyc4l2s1742,2
monkeyc3l1s1432,2
monkeyc4l2s1645,2
monkeyc2g2s541,2
monkeyc1g1s319,2
monkeyc7sp1s3399,2
monkeyc8sp2s3767,2
monkeyc7sp1s3446,0
monkeyc1g1s192,2
monkeyc1g1s327,2
monkeyc6r1s2941,2
monkeyc1g1s255,2
monkeyc8sp2s3793,2
monkeyc6r1s2869,2
monkeyc5hr1s2499,2
monkeyc5hr1s2380,2
monkeyc6r1s2900,2
monkeyc1g1s210,2
monkeyc5hr1s2125,2
monkeyc6r1s2947,2
monkeyc3l1s1222,2
monkeyc6r1s2604,2
monkeyc6r1s2641,1
monkeyc5hr1s2271,2
monkeyc3l1s1161,2
monkeyc8sp2s3765,2
monkeyc2g2s851,2
